target,surrogate,bulk_R2,bulk_coincident_recovery,bulk,coincident count,bin_r2,bin_target/surrogate_ratio,bin_coincident_recovery
BR2-K001,BR2-K002,0.829007946,0.502121914,all,16962,0.935390632,1.029305482,0.480782313
BR2-K001,BR2-K002,0.829007946,0.502121914,all,16962,0.935390632,1.029305482,0.480782313
BR2-K001,BR2-K004,0.805189722,0.527532267,all,17887,0.90691882,0.984784402,0.507001134
BR2-K001,BR2-K004,0.805189722,0.527532267,all,17887,0.90691882,0.984784402,0.507001134
BR2-K001,BR2-K005,0.793987149,0.628963244,all,22291,0.908712347,0.985169027,0.631831066
BR2-K001,BR2-K005,0.793987149,0.628963244,all,22291,0.908712347,0.985169027,0.631831066
BR2-K001,BR2-K006,0.776256224,0.504313973,all,17783,0.871011922,1.020431805,0.504053288
BR2-K001,BR2-K006,0.776256224,0.504313973,all,17783,0.871011922,1.020431805,0.504053288
BR2-K001,BR2-K003,0.76900618,0.56523569,all,11917,0.904133695,0.972644437,0.540895062
BR2-K001,BR2-K003,0.76900618,0.56523569,all,11917,0.904133695,0.972644437,0.540895062
BR2-K001,BR2-K014,0.738644325,0.519167368,all,18114,0.841846506,0.982815483,0.513435374
BR2-K001,BR2-K014,0.738644325,0.519167368,all,18114,0.841846506,0.982815483,0.513435374
BR2-K001,BR2-K009,0.737952658,0.417701319,all,15687,0.854107959,1.008690538,0.444642857
BR2-K001,BR2-K009,0.737952658,0.417701319,all,15687,0.854107959,1.008690538,0.444642857
BR2-K001,BR2-K011,0.72714742,0.254734848,all,10448,0.844849317,1.040945341,0.296145125
BR2-K001,BR2-K011,0.72714742,0.254734848,all,10448,0.844849317,1.040945341,0.296145125
BR2-K001,BR2-K008,0.724645113,0.462051066,all,14642,0.867369179,1.019801979,0.475142783
BR2-K001,BR2-K008,0.724645113,0.462051066,all,14642,0.867369179,1.019801979,0.475142783
BR2-K001,BR2-K012,0.718616866,0.590470679,all,15327,0.837544979,0.97777109,0.578486507
BR2-K001,BR2-K012,0.718616866,0.590470679,all,15327,0.837544979,0.97777109,0.578486507
BR2-K002,BR2-K005,0.910983447,0.511275954,all,29155,0.910983447,0.961820687,0.511275954
BR2-K002,BR2-K005,0.910983447,0.511275954,all,29155,0.910983447,0.961820687,0.511275954
BR2-K002,BR2-K003,0.909527034,0.534617003,all,22908,0.920985426,0.953974432,0.523312393
BR2-K002,BR2-K003,0.909527034,0.534617003,all,22908,0.920985426,0.953974432,0.523312393
BR2-K002,BR2-K004,0.902924715,0.594223485,all,33885,0.902924715,0.945356128,0.594223485
